op name, kernel name, exec duration (ms), global size, local size, output size
ffn_norm-17,kernel_rms_norm_mul,0.095400,131072x1x1,1024x1x1,3584x128x1x1
ffn_swiglu-17,kernel_swiglu,0.654400,65536x1x1,512x1x1,18944x128x1x1
ffn_out-17,kernel_mul_mv_q6_K_f32,548.033203,3584x8192x1,2x64x1,3584x128x1x1
l_out-17,kernel_add,0.224800,8192x1x1,64x1x1,3584x128x1x1
attn_norm-18,kernel_rms_norm_mul,0.115600,131072x1x1,1024x1x1,3584x128x1x1
Qcur-18,kernel_add_row,0.142200,114688x0x0,64x0x0,3584x128x1x1
Qcur-18,kernel_rope_neox_f32,0.119000,1792x128x1,64x1x1,128x28x128x1
Kcur-18,kernel_add_row,0.026600,16384x0x0,64x0x0,512x128x1x1
Kcur-18,kernel_rope_neox_f32,0.013500,256x128x1,64x1x1,128x4x128x1
Vcur-18,kernel_add_row,0.019600,16384x0x0,64x0x0,512x128x1x1
cache_k_l18 (view),kernel_set_rows_f16_i64,0.018600,65536x1x1,512x1x1,512x4096x1x1
cache_v_l18 (view),kernel_set_rows_f16_i64,0.015400,65536x1x1,512x1x1,512x4096x1x1
__fattn__-18,flash_attn_f32_f16,47.422199,128x28x0,32x1x0,128x28x128x1
ffn_inp-18,kernel_add,0.223300,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-18,kernel_rms_norm_mul,0.108600,131072x1x1,1024x1x1,3584x128x1x1
l_out-18,kernel_add,0.183300,8192x1x1,64x1x1,3584x128x1x1
attn_norm-19,kernel_rms_norm_mul,0.107200,131072x1x1,1024x1x1,3584x128x1x1
Qcur-19,kernel_add_row,0.106900,114688x0x0,64x0x0,3584x128x1x1
Qcur-19,kernel_rope_neox_f32,0.100600,1792x128x1,64x1x1,128x28x128x1
Kcur-19,kernel_add_row,0.022100,16384x0x0,64x0x0,512x128x1x1
Kcur-19,kernel_rope_neox_f32,0.013400,256x128x1,64x1x1,128x4x128x1
Vcur-19,kernel_add_row,0.012300,16384x0x0,64x0x0,512x128x1x1
cache_k_l19 (view),kernel_set_rows_f16_i64,0.018900,65536x1x1,512x1x1,512x4096x1x1
cache_v_l19 (view),kernel_set_rows_f16_i64,0.015000,65536x1x1,512x1x1,512x4096x1x1
__fattn__-19,flash_attn_f32_f16,45.517601,128x28x0,32x1x0,128x28x128x1
ffn_inp-19,kernel_add,0.219000,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-19,kernel_rms_norm_mul,0.106600,131072x1x1,1024x1x1,3584x128x1x1
l_out-19,kernel_add,0.126900,8192x1x1,64x1x1,3584x128x1x1
attn_norm-20,kernel_rms_norm_mul,0.091100,131072x1x1,1024x1x1,3584x128x1x1
Qcur-20,kernel_add_row,0.131600,114688x0x0,64x0x0,3584x128x1x1
Qcur-20,kernel_rope_neox_f32,0.119200,1792x128x1,64x1x1,128x28x128x1
Kcur-20,kernel_add_row,0.016800,16384x0x0,64x0x0,512x128x1x1
Kcur-20,kernel_rope_neox_f32,0.012700,256x128x1,64x1x1,128x4x128x1
node_692,kernel_mul_mv_q6_K_f32,15.714700,512x8192x1,2x64x1,512x128x1x1
Vcur-20,kernel_add_row,0.013100,16384x0x0,64x0x0,512x128x1x1
cache_k_l20 (view),kernel_set_rows_f16_i64,0.020400,65536x1x1,512x1x1,512x4096x1x1
cache_v_l20 (view),kernel_set_rows_f16_i64,0.014800,65536x1x1,512x1x1,512x4096x1x1
