op name, kernel name, exec duration (ms), global size, local size, output size
kv_cmpr-23,kernel_rms_norm_mul,0.010100,32768x1x1,512x1x1,512x64x1x1
kv-23,kernel_transpose_32_16,0.004100,128x16x0,1x16x0,4096x64x1x1
kv-23,kernel_mul_mat_Ab_Bi_8x4,0.132900,8x1024x1,1x128x1,4096x64x1x1
Kcur-23,kernel_concat_f32_non_contiguous,0.401000,16x64x1,0x0x0,192x16x64x1
Vcur_cont-23,kernel_cpy_f32_f32,0.013200,1024x64x1,64x1x1,128x16x64x1
cache_k_l23 (view),kernel_set_rows_f16_i64,0.015700,65536x1x1,1024x1x1,3072x4096x1x1
cache_v_l23 (view),kernel_set_rows_f16_i64,0.011700,65536x1x1,1024x1x1,2048x4096x1x1
__fattn__-23,flash_attn_f32_f16,9.348900,64x16x0,16x1x0,128x16x64x1
node_1503,kernel_transpose_32_16,0.009600,512x16x0,1x16x0,2048x64x1x1
node_1503,kernel_mul_mat_Ab_Bi_8x4,0.376600,8x512x1,1x128x1,2048x64x1x1
ffn_inp-23,kernel_add,0.021500,4096x1x1,64x1x1,2048x64x1x1
ffn_norm-23,kernel_rms_norm_mul,0.019400,65536x1x1,1024x1x1,2048x64x1x1
ffn_moe_logits-23,kernel_mul_mm_f32_f32_l4_lm,0.515400,128x1x1,128x1x1,64x64x1x1
ffn_moe_probs-23,kernel_soft_max_4,0.003800,4096x1x1,64x1x1,64x64x1x1
ffn_moe_argsort-23,kernel_argsort_f32_i32,0.015000,64x64x1,64x1x1,64x64x1x1
ffn_moe_weights-23,kernel_get_rows_f32,0.004100,384x64x1,64x1x1,1x6x64x1
ffn_moe_weights_scaled-23,kernel_scale,0.001800,96x1x1,64x1x1,1x6x64x1
ffn_moe_gate-23,kernel_mul_mv_id_q4_0_f32_8x_flat,9.212500,11264x1x384,64x1x1,1408x6x64x1
ffn_moe_up-23,kernel_mul_mv_id_q4_0_f32_8x_flat,9.247900,11264x1x384,64x1x1,1408x6x64x1
ffn_moe_weighted-23,kernel_swiglu,0.082300,196608x1x1,512x1x1,1408x6x64x1
ffn_moe_down-23,kernel_mul_mv_id_q4_0_f32_8x_flat,9.892100,16384x1x384,64x1x1,2048x6x64x1
node_1519,kernel_mul,0.099500,384x64x1,64x1x1,2048x6x64x1
ffn_gate-23,kernel_transpose_32_16,0.011300,512x16x0,1x16x0,2816x64x1x1
ffn_gate-23,kernel_mul_mat_Ab_Bi_8x4,0.382500,8x704x1,1x128x1,2816x64x1x1
ffn_up-23,kernel_transpose_32_16,0.010200,512x16x0,1x16x0,2816x64x1x1
ffn_up-23,kernel_mul_mat_Ab_Bi_8x4,0.385800,8x704x1,1x128x1,2816x64x1x1
ffn_swiglu-23,kernel_swiglu,0.022900,32768x1x1,512x1x1,2816x64x1x1
node_1529,kernel_add,0.021200,4096x1x1,64x1x1,2048x64x1x1
node_1530,kernel_add,0.020400,4096x1x1,64x1x1,2048x64x1x1
node_1531,kernel_add,0.018000,4096x1x1,64x1x1,2048x64x1x1
node_1532,kernel_add,0.017300,4096x1x1,64x1x1,2048x64x1x1
ffn_moe_out-23,kernel_add,0.017200,4096x1x1,64x1x1,2048x64x1x1
ffn_shexp-23,kernel_transpose_32_16,0.013000,704x16x0,1x16x0,2048x64x1x1
ffn_shexp-23,kernel_mul_mat_Ab_Bi_8x4,0.527400,8x512x1,1x128x1,2048x64x1x1
ffn_out-23,kernel_add,0.021700,4096x1x1,64x1x1,2048x64x1x1
l_out-23,kernel_add,0.016600,4096x1x1,64x1x1,2048x64x1x1
attn_norm-24,kernel_rms_norm_mul,0.018900,65536x1x1,1024x1x1,2048x64x1x1
q-24,kernel_transpose_32_16,0.006400,512x16x0,1x16x0,3072x64x1x1
q-24,kernel_mul_mat_Ab_Bi_8x4,0.390300,8x768x1,1x128x1,3072x64x1x1
q_pe-24,kernel_rope_norm_f32,0.011800,1024x64x1,64x1x1,64x16x64x1
Qcur-24,kernel_concat_f32_non_contiguous,0.347000,16x64x1,0x0x0,192x16x64x1
kv_cmpr_pe-24,kernel_transpose_32_16,0.010600,512x16x0,1x16x0,576x64x1x1
kv_cmpr_pe-24,kernel_mul_mat_Ab_Bi_8x4,0.317600,8x144x1,1x128x1,576x64x1x1
k_pe-24,kernel_rope_norm_f32,0.003200,64x64x1,64x1x1,64x1x64x1
